Movie_ID,Movie_Title,Budget,Cast,Crew,Studios,Genre,Keywords,Languages,Countries,Filming_Location,Release_Data,Runtime,Gross_worldwide,Rating,Rating_Count,ListOfCertificate
1345836,The Dark Knight Rises,"Gross US & Canada$448,149,584","Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,Joseph Gordon-Levitt,Marion Cotillard,Morgan Freeman,Michael Caine,Matthew Modine,Alon Aboutboul,Ben Mendelsohn,Burn Gorman,Daniel Sunjata,Aidan Gillen,Sam Kennard,Aliash Tepina,Nestor Carbonell,Brett Cullen","Christopher Nolan,David S. Goyer,Jonathan Nolan","Warner Bros.,Legendary Pictures,DC Entertainment","Action,Crime,Drama","batman character,terrorist plot,bruce wayne character,motorcycle,sequel","English,Arabic","United States,United Kingdom",Mehrangarh Fort Jodhpur Rajasthan India,2012-07-20,PT2H44M,"$1,085,199,115",8.4,1964286,
372784,Batman Begins,"Gross US & Canada$206,863,479","Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,Tom Wilkinson,Rutger Hauer,Linus Roache,Mark Boone Junior,Morgan Freeman,Larry Holden,Gerard Murphy,Colin McFarlane,Sara Stewart,Gus Lewis,Richard Brake","David S. Goyer,Christopher Nolan,Bob Kane","Warner Bros.,DC Comics,Syncopy","Action,Crime,Drama","superhero,batman character,male superhero,playboy,social decay","English,Mandarin","United States,United Kingdom",Lower Wacker Drive Downtown Chicago Illinois USA,2005-06-15,PT2H20M,"$375,550,730",8.2,1688237,
482571,The Prestige,"Gross US & Canada$53,089,891","Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,Piper Perabo,Rebecca Hall,Samantha Mahurin,David Bowie,Andy Serkis,Daniel Davis,Jim Piddock,Christopher Neame,Mark Ryan,Roger Rees,Jamie Harris,Monty Stuart,Ron Perkins,Ricky Jay","Christopher Priest,Christopher Nolan,Jonathan Nolan","Touchstone Pictures,Warner Bros.,Newmarket Films","Drama,Mystery,Sci-Fi","illusion,magician,rivalry,magic,obsession",English,"United Kingdom,United States",,2006-10-20,PT2H10M,"$109,676,311",8.5,1561481,
102926,The Silence of the Lambs,"Gross US & Canada$130,742,922","Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine,Anthony Heald,Brooke Smith,Diane Baker,Kasi Lemmons,Charles Napier,Tracey Walter,Roger Corman,Ron Vawter,Danny Darst,Jeffrie Lane,Frankie Faison,Paul Lazar,Dan Butler,Chris Isaak","Jonathan Demme,Thomas Harris,Ted Tally","Strong Heart/Demme Production,Orion Pictures","Crime,Drama,Horror","serial killer,psychopath,female full frontal nudity,based on ed gein,based on novel","English,Latin",United States,,1991-02-14,PT1H58M,"$272,742,922",8.6,1690382,
7286456,Joker,"Gross US & Canada$335,477,657","Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Brett Cullen,Shea Whigham,Bill Camp,Glenn Fleshler,Leigh Gill,Josh Pais,Rocco Luna,Marc Maron,Sondra James,Murphy Guyer,Douglas Hodge,Dante Pereira-Olson,Carrie Louise Putrello,Sharon Washington","Todd Phillips,Scott Silver,Bob Kane","Warner Bros.,Village Roadshow Pictures,BRON Studios","Crime,Drama,Thriller","mental illness,nihilism,clown,joker character,stand up comedian","English,German","United States,Canada,Australia",,2019-10-04,PT2H2M,"$1,078,958,629",8.3,1661568,
109830,Forrest Gump,"Gross US & Canada$330,455,270","Tom Hanks,Robin Wright,Gary Sinise,Rebecca Williams,Sally Field,Michael Conner Humphreys,Harold G. Herthum,George Kelly,Bob Penny,John Randall,Sam Anderson,Margo Moorer,Ione M. Telech,Christine Seabrook,John Worsham,Peter Dobson,Siobhan Fallon Hogan,Alexander Zemeckis","Eric Roth,Robert Zemeckis,Winston Groom","Paramount Pictures,The Steve Tisch Company,Wendy Finerman Productions","Drama,Romance","vietnam war,based on novel,vietnam,mother son relationship,war hero",English,United States,Chippewa Square Savannah Georgia USA,1994-07-06,PT2H22M,"$678,226,465",8.8,2452777,
167261,The Lord of the Rings: The Two Towers,"Gross US & Canada$345,518,923","Elijah Wood,Ian McKellen,Viggo Mortensen,Bruce Allpress,Sean Astin,John Bach,Sala Baker,Cate Blanchett,Orlando Bloom,Billy Boyd,Jed Brophy,Sam Comery,Brad Dourif,Calum Gittins,Bernard Hill,Bruce Hopkins,Paris Howe Strewe,Christopher Lee","J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Peter Jackson","New Line Cinema,WingNut Films,The Saul Zaentz Company","Adventure,Drama,Fantasy","middle earth,wizard,orc,hobbit,evil wizard","English,Sindarin,Old English","New Zealand,United States",Hinuera Valley Matamata Waikato New Zealand,2002-12-18,PT2H59M,"$938,848,691",8.8,1924444,
361748,Inglourious Basterds,"Gross US & Canada$120,540,719","Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,Christoph Waltz,Michael Fassbender,Daniel Brühl,Til Schweiger,Gedeon Burkhard,Jacky Ido,B.J. Novak,Omar Doom,August Diehl,Denis Ménochet,Sylvester Groth,Martin Wuttke,Mike Myers,Julie Dreyfus",Quentin Tarantino,"Universal Pictures,The Weinstein Company,A Band Apart","Adventure,Drama,War","nazi,alternate history,world war two,brutality,jewish resistance","English,German,French,Italian","United States,Germany",,2009-08-21,PT2H33M,"$321,460,744",8.4,1746942,
1853728,Django Unchained,"Gross US & Canada$162,805,434","Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson,Walton Goggins,Dennis Christopher,James Remar,David Steen,Dana Gourrier,Nichole Galicia,Laura Cayouette,Ato Essandoh,Sammi Rotibi,Clay Donahue Fontenot,Escalante Lundy,Miriam F. Glover,Don Johnson",Quentin Tarantino,"The Weinstein Company,Columbia Pictures,Visiona Romantica","Drama,Western","slavery,racial violence,racial vengeance,sadism,n word","English,German,French,Italian",United States,,2012-12-25,PT2H45M,"$426,076,540",8.5,1849719,
68646,The Godfather,"Gross US & Canada$136,381,073","Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall,Sterling Hayden,John Marley,Richard Conte,Al Lettieri,Diane Keaton,Abe Vigoda,Talia Shire,Gianni Russo,John Cazale,Rudy Bond,Al Martino,Morgana King,Lenny Montana","Francis Ford Coppola,Mario Puzo","Paramount Pictures,Albert S. Ruddy Productions,Alfran Productions","Crime,Drama","mafia,patriarch,crime family,organized crime,gangster","English,Italian,Latin",United States,Forza d'Agrò Messina Sicily Italy,1972-03-24,PT2H55M,"$250,926,380",9.2,2189802,
133093,The Matrix,"Gross US & Canada$172,076,928","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster,Joe Pantoliano,Marcus Chong,Julian Arahanga,Matt Doran,Belinda McClory,Anthony Ray Parker,Paul Goddard,Robert Taylor,David Aston,Marc Aden Gray,Ada Nicodemou,Deni Gordon,Rowan Witt","Lilly Wachowski,Lana Wachowski","Warner Bros.,Village Roadshow Pictures,Groucho Film Partnership","Action,Sci-Fi","war with machines,artificial reality,simulated reality,dystopia,questioning reality",English,"United States,Australia",Nashville Tennessee USA,1999-03-31,PT2H16M,"$467,846,090",8.7,2214157,
1375666,Inception,"Gross US & Canada$292,587,330","Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Tom Hardy,Ken Watanabe,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas,Tai-Li Lee,Claire Geare,Magnus Nolan,Taylor Geare,Johnathan Geare,Tohoru Masamune",Christopher Nolan,"Warner Bros.,Legendary Pictures,Syncopy","Action,Adventure,Sci-Fi","dream,ambiguous ending,subconscious,mindbender,surprise ending","English,Japanese,French","United States,United Kingdom",,2010-07-16,PT2H28M,"$839,786,473",8.8,2766760,
108052,Schindler&apos;s List,"Gross US & Canada$96,898,818","Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,Jonathan Sagall,Embeth Davidtz,Malgorzata Gebel,Shmuel Levy,Mark Ivanir,Béatrice Macola,Andrzej Seweryn,Friedrich von Thun,Krzysztof Luft,Harry Nehring,Norbert Weisser,Adi Nitzan,Michael Schneider,Miri Fabian","Thomas Keneally,Steven Zaillian,Steven Spielberg","Universal Pictures,Amblin Entertainment","Biography,Drama,History","holocaust,nazi,nazi concentration camp,jew,german","English,Hebrew,German,Polish,Latin",United States,,1994-02-04,PT3H15M,"$322,161,245",9,1564925,
