,Budget,Gross_worldwide,Runtime,Rating,Rating_Count,Cast_Count,Crew_Count,Genre_Count,Release_Year
Budget,1.0,0.9067457940631667,0.005599904610423824,0.062181466710297464,0.6215734989529083,0.07599192809621574,0.20516438023463707,0.13264657319190593,0.14454826377368496
Gross_worldwide,0.9067457940631667,1.0,-0.015915850384951934,0.08103982493563198,0.6411702177202208,0.08050629938793805,0.19189889110574812,0.12859868238988004,0.19097611240258355
Runtime,0.005599904610423824,-0.015915850384951934,1.0,0.02291945776363868,-0.016680801315446147,-0.08913387714242917,-0.0015374283217739126,-0.011526509062519265,-0.021701581605707013
Rating,0.062181466710297464,0.08103982493563198,0.02291945776363868,1.0,0.23595816697277577,-0.014730209750477436,-0.054667064606783125,-0.04287783117506826,-0.18998263210574914
Rating_Count,0.6215734989529083,0.6411702177202208,-0.016680801315446147,0.23595816697277577,1.0,0.06725166981726843,0.0655342451879431,0.07965535835809202,0.1346623948805919
Cast_Count,0.07599192809621574,0.08050629938793805,-0.08913387714242917,-0.014730209750477436,0.06725166981726843,1.0,0.09474464569580143,0.08805140574390169,0.033271444369461306
Crew_Count,0.20516438023463707,0.19189889110574812,-0.0015374283217739126,-0.054667064606783125,0.0655342451879431,0.09474464569580143,1.0,0.12024910659584229,-0.17562435001204318
Genre_Count,0.13264657319190593,0.12859868238988004,-0.011526509062519265,-0.04287783117506826,0.07965535835809202,0.08805140574390169,0.12024910659584229,1.0,0.0796442416376522
Release_Year,0.14454826377368496,0.19097611240258355,-0.021701581605707013,-0.18998263210574914,0.1346623948805919,0.033271444369461306,-0.17562435001204318,0.0796442416376522,1.0
