,Count,Mean,Median,Std,Min,Q1,Q3,Max,Skewness,Kurtosis
Budget,17296.0,24080874.616816025,14193064.0,38786834.34233899,1256.8000000000006,4206101.0,21686547.0,241457828.34999973,3.4786292788014643,13.780359847816033
Gross_worldwide,14329.0,50509148.239422135,10501958.0,111624927.24294825,807.0,1500000.0,41627431.0,725533282.7199984,3.990347242679456,17.93537893718406
Runtime,17300.0,40.029537572254334,40.0,0.6111809776515391,40.0,40.0,40.0,59.0,23.237122392402608,579.6609754138726
Rating,17300.0,6.538317919075144,6.6,1.02969688921015,1.0,6.0,7.3,9.3,-0.9300415448268727,2.032341697459872
Rating_Count,17300.0,65112.544971098265,17868.5,153140.0540623019,1244.0,8663.0,53144.25,3137468.0,6.934114723880081,74.6043173048083
ROI,8707.0,28158.78159115515,111.603009440273,335054.0244759376,0.0,23.211732561078676,387.1515925047953,12416566.666666668,22.262872952120876,607.2106914086103
