Model,Train_R2,Test_R2,Test_MAE,Test_RMSE,Test_MAPE,Overfit
Random_Forest,0.9873611489207622,0.9421614385140131,11049819.437270634,26524822.09024925,836.4840577551405,0.04519971040674908
Gradient_Boosting,0.9920995952547267,0.9420146294399286,11122127.80135353,26558464.149773158,1693.7398759875528,0.050084965814798044
Decision_Tree,0.9656302764619549,0.9136007218933169,12897501.781891828,32418938.836292103,911.589301174333,0.052029554568638
Ridge,0.915395496381095,0.9131449185954871,18065493.14229175,32504340.13860399,15692.16247863183,0.002250577785607888
Lasso,0.9154610348976383,0.9130627726295146,18129904.772567917,32519707.514588285,15688.858093301164,0.0023982622681236743
Linear_Regression,0.9154610349066741,0.913062708053828,18129933.885271795,32519719.592164915,15688.869832925897,0.002398326852846022
ElasticNet,0.9145352678873894,0.9127905370144427,17948463.645491906,32570583.89445675,16613.30996429688,0.001744730872946687
